year,month,day,hour,minute,weekday,holiday,e10,e5,diesel
2026,1,18,12,22,6,0,1.699,1.739,1.659
2026,1,18,13,4,6,0,1.679,1.719,1.639
2026,1,18,13,39,6,0,1.719,1.769,1.669
2026,1,18,13,50,6,0,1.719,1.769,1.669
2026,1,18,14,11,6,0,1.709,1.759,1.629
2026,1,18,14,32,6,0,1.689,1.739,1.629
2026,1,18,14,49,6,0,1.669,1.719,1.619
2026,1,18,15,11,6,0,1.669,1.719,1.619
2026,1,18,15,31,6,0,1.669,1.709,1.619
2026,1,18,15,48,6,0,1.699,1.739,1.649
2026,1,18,16,14,6,0,1.699,1.739,1.639
2026,1,18,16,40,6,0,1.679,1.719,1.629
2026,1,18,16,53,6,0,1.679,1.719,1.619
2026,1,18,17,10,6,0,1.669,1.709,1.619
2026,1,18,17,30,6,0,1.669,1.709,1.619
2026,1,18,17,48,6,0,1.699,1.739,1.649
2026,1,18,18,16,6,0,1.679,1.739,1.639
2026,1,18,18,47,6,0,1.679,1.719,1.629
2026,1,18,19,9,6,0,1.679,1.719,1.619
2026,1,18,19,26,6,0,1.659,1.719,1.619
2026,1,18,19,34,6,0,1.659,1.719,1.619
2026,1,18,19,47,6,0,1.689,1.749,1.649
2026,1,18,20,13,6,0,1.689,1.739,1.639
2026,1,18,20,34,6,0,1.679,1.719,1.639
2026,1,18,20,51,6,0,1.679,1.719,1.629
2026,1,18,21,11,6,0,,,
2026,1,18,21,29,6,0,,,
2026,1,18,21,40,6,0,,,
2026,1,18,21,48,6,0,,,
2026,1,18,22,11,6,0,,,
2026,1,18,22,34,6,0,,,
2026,1,18,22,51,6,0,,,
2026,1,19,5,24,0,0,1.709,1.759,1.679
2026,1,19,5,52,0,0,1.709,1.759,1.679
2026,1,19,6,25,0,0,1.819,1.879,1.809
2026,1,19,7,2,0,0,1.779,1.839,1.799
2026,1,19,7,41,0,0,1.759,1.809,1.769
2026,1,19,7,55,0,0,1.749,1.789,1.689
2026,1,19,8,21,0,0,1.699,1.759,1.669
2026,1,19,8,55,0,0,1.749,1.809,1.719
2026,1,19,9,25,0,0,1.709,1.769,1.659
2026,1,19,9,55,0,0,1.709,1.749,1.649
2026,1,19,10,19,0,0,1.689,1.749,1.649
2026,1,19,10,52,0,0,1.679,1.719,1.629
2026,1,19,11,15,0,0,1.669,1.709,1.599
2026,1,19,11,35,0,0,1.729,1.769,1.659
2026,1,19,11,51,0,0,1.729,1.769,1.659
2026,1,19,12,28,0,0,1.709,1.749,1.629
2026,1,19,13,26,0,0,1.679,1.719,1.619
2026,1,19,13,58,0,0,1.729,1.769,1.669
2026,1,19,14,27,0,0,1.699,1.749,1.619
2026,1,19,14,53,0,0,1.689,1.729,1.619
2026,1,19,15,17,0,0,1.679,1.719,1.619
2026,1,19,15,47,0,0,1.709,1.749,1.649
2026,1,19,16,17,0,0,1.679,1.729,1.629
2026,1,19,16,52,0,0,1.679,1.719,1.619
2026,1,19,17,16,0,0,1.669,1.709,1.619
2026,1,19,17,45,0,0,1.699,1.739,1.649
2026,1,19,17,56,0,0,1.699,1.739,1.649
2026,1,19,18,22,0,0,1.679,1.739,1.639
2026,1,19,18,53,0,0,1.659,1.719,1.629
2026,1,19,19,13,0,0,1.659,1.709,1.619
2026,1,19,19,30,0,0,1.659,1.709,1.619
2026,1,19,19,48,0,0,1.689,1.739,1.649
2026,1,19,20,14,0,0,1.689,1.739,1.629
2026,1,19,20,38,0,0,1.679,1.719,1.629
2026,1,19,20,52,0,0,1.679,1.719,1.629
2026,1,19,21,11,0,0,,,
2026,1,19,21,32,0,0,,,
2026,1,19,21,50,0,0,,,
2026,1,19,22,13,0,0,,,
2026,1,19,22,37,0,0,,,
2026,1,19,22,53,0,0,,,
2026,1,20,5,22,1,0,1.709,1.759,1.669
2026,1,20,5,50,1,0,1.709,1.759,1.669
2026,1,20,6,22,1,0,1.819,1.879,1.809
2026,1,20,6,59,1,0,1.779,1.839,1.799
2026,1,20,7,28,1,0,1.769,1.809,1.789
2026,1,20,7,49,1,0,1.749,1.799,1.759
2026,1,20,8,20,1,0,1.729,1.779,1.699
2026,1,20,8,55,1,0,1.769,1.829,1.749
2026,1,20,9,25,1,0,1.729,1.789,1.719
2026,1,20,9,52,1,0,1.709,1.749,1.709
2026,1,20,10,18,1,0,1.689,1.739,1.709
2026,1,20,10,51,1,0,1.679,1.719,1.679
2026,1,20,11,16,1,0,1.669,1.709,1.659
2026,1,20,11,42,1,0,1.729,1.769,1.719
2026,1,20,11,54,1,0,1.729,1.769,1.719
2026,1,20,12,28,1,0,1.669,1.729,1.659
2026,1,20,13,27,1,0,1.669,1.709,1.649
2026,1,20,14,1,1,0,1.719,1.759,1.699
2026,1,20,14,49,1,0,1.669,1.729,1.639
2026,1,20,15,21,1,0,1.669,1.709,1.629
2026,1,20,15,53,1,0,1.699,1.739,1.659
2026,1,20,16,23,1,0,1.679,1.719,1.639
2026,1,20,16,57,1,0,1.659,1.699,1.619
2026,1,20,17,26,1,0,1.649,1.699,1.619
2026,1,20,17,52,1,0,1.679,1.729,1.649
2026,1,20,18,22,1,0,1.669,1.729,1.649
2026,1,20,19,38,1,0,1.689,1.729,1.659
2026,1,20,20,34,1,0,1.669,1.719,1.649
2026,1,20,20,59,1,0,1.659,1.699,1.639
2026,1,20,21,24,1,0,,,
2026,1,25,15,3,6,0,1.679,1.719,1.629
2026,1,25,21,44,6,0,,,
2026,1,26,13,29,0,0,1.679,1.719,1.639
2026,1,26,13,30,0,0,1.679,1.719,1.639
2026,1,26,13,48,0,0,1.729,1.769,1.689
2026,1,26,14,24,0,0,1.699,1.749,1.659
2026,1,26,16,11,0,0,1.699,1.739,1.649
2026,1,26,21,59,0,0,,,
2026,1,26,22,49,0,0,,,
2026,1,26,22,59,0,0,,,
2026,1,26,23,43,0,0,,,
2026,1,26,23,57,0,0,,,
2026,1,27,4,13,1,0,1.709,1.759,1.669
2026,1,27,5,45,1,0,1.719,1.769,1.679
2026,1,27,6,0,1,0,1.809,1.869,1.799
2026,1,27,7,4,1,0,1.789,1.849,1.799
2026,1,27,7,51,1,0,1.759,1.809,1.779
2026,1,27,7,59,1,0,1.749,1.789,1.769
2026,1,27,9,3,1,0,1.719,1.759,1.729
2026,1,27,10,1,1,0,1.689,1.729,1.709
2026,1,27,10,59,1,0,1.679,1.729,1.659
2026,1,27,11,44,1,0,1.739,1.789,1.709
2026,1,27,11,58,1,0,1.739,1.789,1.709
2026,1,27,13,59,1,0,1.729,1.779,1.689
2026,1,27,15,3,1,0,1.679,1.729,1.659
2026,1,27,15,57,1,0,1.709,1.759,1.689
2026,1,27,17,1,1,0,1.679,1.729,1.659
2026,1,27,17,56,1,0,1.709,1.759,1.679
2026,1,27,19,17,1,0,1.679,1.729,1.639
2026,1,27,19,52,1,0,1.709,1.759,1.669
2026,1,27,20,0,1,0,1.709,1.759,1.669
2026,1,27,20,49,1,0,1.679,1.729,1.629
2026,1,27,21,0,1,0,1.669,1.729,1.629
2026,1,27,21,38,1,0,,,
2026,1,27,21,54,1,0,,,
2026,1,27,21,59,1,0,,,
2026,1,27,22,47,1,0,,,
2026,1,27,22,58,1,0,,,
2026,1,27,23,41,1,0,,,
2026,1,27,23,55,1,0,,,
2026,1,28,4,0,2,0,1.709,1.769,1.669
2026,1,28,5,5,2,0,1.719,1.779,1.679
2026,1,28,5,55,2,0,1.719,1.779,1.679
2026,1,28,7,3,2,0,1.789,1.849,1.799
2026,1,28,7,49,2,0,1.759,1.819,1.769
2026,1,28,7,58,2,0,1.759,1.799,1.759
2026,1,28,9,4,2,0,1.769,1.809,1.769
